Wed Mar 18 06:05:01 PDT 2020 - start
* # of countries 152
141/153 - Saint Vincent and the Grenadines - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
142/153 - Suriname - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
143/153 - Central African Republic - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
144/153 - Congo (Brazzaville) - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
145/153 - Equatorial Guinea - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
146/153 - Benin - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
147/153 - Greenland - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
148/153 - Liberia - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
149/153 - Republic of the Congo - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
150/153 - Somalia - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
151/153 - Tanzania - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
152/153 - The Bahamas - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
153/153 - The Gambia - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
Generating plots done!
Wed Mar 18 06:07:34 PDT 2020 - end
