Thu Mar 19 12:05:01 PDT 2020 - start
* # of countries 152
124/153 - Tanzania - last value from 2020-3-18 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
125/153 - Kyrgyzstan - last value from 2020-3-18 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
126/153 - Mauritius - last value from 2020-3-18 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
127/153 - Sudan - last value from 2020-3-18 with 2 cases, 1 deaths, 0 recovered, 1 active cases.
128/153 - Namibia - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
129/153 - Saint Lucia - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
130/153 - Kosovo - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
131/153 - Benin - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
132/153 - Liberia - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
133/153 - Barbados - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
134/153 - Zambia - last value from 2020-3-18 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
135/153 - Nepal - last value from 2020-3-18 with 1 cases, 0 deaths, 1 recovered, 0 active cases.
136/153 - Bhutan - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
137/153 - Togo - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
138/153 - Holy See - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
139/153 - Guinea - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
140/153 - Antigua and Barbuda - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
141/153 - Eswatini - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
142/153 - Gabon - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
143/153 - Mauritania - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
